"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.09.2017","515,46","517,39","518,90","514,77","70,53M","-0,16%"
"04.09.2017","516,27","515,01","517,81","515,01","49,32M","-0,37%"
"01.09.2017","518,18","518,16","519,02","517,11","64,66M","0,41%"
"31.08.2017","516,04","515,55","517,38","514,30","88,79M","0,59%"
"30.08.2017","513,01","513,34","514,02","511,29","63,80M","0,58%"
"29.08.2017","510,03","510,12","510,57","505,92","92,58M","-0,92%"
"28.08.2017","514,76","515,13","516,63","512,68","49,67M","-0,51%"
"25.08.2017","517,42","518,72","520,02","517,37","71,04M","-0,32%"
"24.08.2017","519,10","520,39","520,95","519,10","57,77M","-0,05%"
"23.08.2017","519,36","521,32","522,72","518,31","61,21M","-0,48%"
"22.08.2017","521,87","518,97","521,92","518,97","59,60M","1,00%"
"21.08.2017","516,71","518,07","519,23","515,46","66,90M","-0,56%"
"18.08.2017","519,64","519,83","519,86","517,30","83,25M","-0,78%"
"17.08.2017","523,71","524,91","526,09","523,14","70,78M","-0,41%"
"16.08.2017","525,89","524,33","526,81","524,08","66,94M","0,62%"
"15.08.2017","522,67","522,47","523,38","521,01","55,31M","0,30%"
"14.08.2017","521,10","519,93","522,01","518,82","60,80M","0,80%"
"11.08.2017","516,97","520,05","520,05","516,11","103,78M","-1,27%"
"10.08.2017","523,63","527,21","527,41","522,57","117,69M","-0,87%"
"09.08.2017","528,21","530,51","531,11","527,32","95,74M","-0,84%"
"08.08.2017","532,68","531,65","533,18","530,32","74,64M","0,24%"
"07.08.2017","531,41","530,06","531,41","529,31","67,47M","0,44%"
"04.08.2017","529,09","523,77","529,89","523,45","79,20M","0,67%"
"03.08.2017","525,57","523,60","526,54","521,84","78,91M","0,05%"
"02.08.2017","525,30","528,68","528,68","524,24","91,74M","-0,41%"
